year,round,team_x,team_y,diff_seed,diff_bpi,diff_qual_win,diff_qual_loss,diff_qual_win_perc,diff_schdl_strength,diff_dist,location,team_x_win,team
2022,64,Boise State,Memphis,-1,-3.8,-1,-2,0.18,42,-1508.906455,"Portland, OR",FALSE,Memphis
2022,64,UConn,New Mexico State,-7,9.4,6,5,0.04,-127,-1340.555999,"Buffalo, NY",FALSE,New Mexico State
2022,64,Arkansas,Vermont,-9,2.8,11,5,0.61,-255,640.7536044,"Buffalo, NY",TRUE,Arkansas
2022,64,Alabama,Notre Dame,-5,1.8,5,0,0.19,-53,-83.23646095,"San Diego, CA",FALSE,Notre Dame
2022,64,Texas Tech,Montana State,-11,16.4,12,7,0.6,-328,-63.33510597,"San Diego, CA",TRUE,Texas Tech
2022,64,Michigan State,Davidson,-3,1.2,6,7,0.16,-107,461.103277,"Greenville, SC",TRUE,Michigan State
2022,64,Duke,Cal State Fullerton,-13,17.2,11,3,0.69,-243,-1810.464267,"Greenville, SC",TRUE,Duke
2022,64,Baylor,Norfolk State,-15,16.9,10,5,0.59,-327,-1142.786178,"Fort Worth, TX",TRUE,Baylor
2022,64,North Carolina,Marquette,-1,5.3,-1,2,-0.09,-8,191.190962,"Fort Worth, TX",TRUE,North Carolina
2022,64,Saint Mary's,Indiana,-7,1.8,-1,-5,0.12,44,-1348.70109,"Portland, OR",TRUE,Saint Mary's
2022,64,UCLA,Akron,-9,12,5,3,0.5,-200,-1248.523146,"Portland, OR",TRUE,UCLA
2022,64,Texas,Virginia Tech,-5,0.7,3,1,0.08,-33,467.8915339,"Milwaukee, WI",TRUE,Texas
2022,64,Purdue,Yale,-11,15.7,11,1,0.65,-126,-590.2382965,"Milwaukee, WI",TRUE,Purdue
2022,64,Murray State,San Francisco,-3,-0.3,1,-6,0.54,138,-1700.664607,"Indianapolis, IN",TRUE,Murray State
2022,64,Kentucky,Saint Peter's,-13,12.9,7,4,0.09,-94,-489.942377,"Indianapolis, IN",FALSE,Saint Peter's
2022,64,Arizona,Wright State,-15,16.8,7,1,0.7,-222,-1518.239279,"San Diego, CA",TRUE,Arizona
2022,64,Seton Hall,TCU,-1,-0.9,-3,-1,-0.07,35,1268.282831,"San Diego, CA",FALSE,TCU
2022,64,Houston,UAB,-7,10.6,5,3,0.5,-86,530.3317104,"Pittsburgh, PA",TRUE,Houston
2022,64,Illinois,Chattanooga,-9,5.9,9,4,0.6,-122,-31.91986675,"Pittsburgh, PA",TRUE,Illinois
2022,64,Colorado State,Michigan,-5,-5,-4,-9,0.13,105,785.748749,"Indianapolis, IN",FALSE,Michigan
2022,64,Tennessee,Longwood,-11,16.2,12,6,0.6,-325,-163.2822266,"Indianapolis, IN",TRUE,Tennessee
2022,64,Ohio State,Loyola (IL),-3,0.3,7,5,0.25,-92,-250.9635855,"Pittsburgh, PA",TRUE,Ohio State
2022,64,Villanova,Delaware,-13,16.5,15,4,0.75,-171,16.8132603,"Pittsburgh, PA",TRUE,Villanova
2022,64,Kansas,Texas Southern,-15,18,15,4,0.4,-196,205.6026126,"Fort Worth, TX",TRUE,Kansas
2022,64,San Diego State,Creighton,-1,2.8,-6,-6,-0.14,55,557.0353395,"Fort Worth, TX",FALSE,Creighton
2022,64,Iowa,Richmond,-7,8.5,4,3,0.1,-37,275.4744069,"Buffalo, NY",FALSE,Richmond
2022,64,Providence,South Dakota State,-9,2.9,9,1,0.75,-194,-514.9798629,"Buffalo, NY",TRUE,Providence
2022,64,LSU,Iowa State,-5,4.9,-2,-3,0.02,17,593.427504,"Milwaukee, WI",FALSE,Iowa State
2022,64,Wisconsin,Colgate,-11,7.2,11,2,0.69,-262,-557.2896688,"Milwaukee, WI",TRUE,Wisconsin
2022,64,USC,Miami (FL),-3,0.7,-5,-1,-0.25,46,1400.808521,"Greenville, SC",FALSE,Miami (FL)
2022,64,Auburn,Jacksonville State,-13,13.3,10,4,0.63,-213,30.49814023,"Greenville, SC",TRUE,Auburn
2022,32,Gonzaga,Memphis,-8,8.7,5,1,0.12,14,-1563.980316,"Portland, OR",TRUE,Gonzaga
2022,32,New Mexico State,Arkansas,8,-8.9,-10,-6,-0.11,145,743.8087965,"Buffalo, NY",FALSE,Arkansas
2022,32,Notre Dame,Texas Tech,8,-6.7,-8,1,-0.29,39,911.4755172,"San Diego, CA",FALSE,Texas Tech
2022,32,Michigan State,Duke,5,-6.5,-4,5,-0.28,-30,348.4510383,"Greenville, SC",FALSE,Duke
2022,32,Baylor,North Carolina,-7,4.6,3,-2,0.15,-5,-981.1593674,"Fort Worth, TX",FALSE,North Carolina
2022,32,Saint Mary's,UCLA,1,-4.4,0,0,0,22,-288.5006294,"Portland, OR",FALSE,UCLA
2022,32,Texas,Purdue,3,-2.5,-3,4,-0.21,-13,845.5576869,"Milwaukee, WI",FALSE,Purdue
2022,32,Murray State,Saint Peter's,-8,5.5,-1,-2,0.17,113,-391.7819762,"Indianapolis, IN",FALSE,Saint Peter's
2022,32,Arizona,TCU,-8,7.1,-2,-6,0.2,65,-780.7847283,"San Diego, CA",TRUE,Arizona
2022,32,Houston,Illinois,1,5.9,-4,-1,-0.1,55,700.3866506,"Pittsburgh, PA",TRUE,Houston
2022,32,Michigan,Tennessee,8,-6.6,-5,4,-0.23,-3,-75.50108018,"Indianapolis, IN",TRUE,Michigan
2022,32,Ohio State,Villanova,5,-6.1,-7,3,-0.25,8,-84.26264658,"Pittsburgh, PA",FALSE,Villanova
2022,32,Kansas,Creighton,-8,9.8,9,-2,0.26,-28,-147.9917701,"Fort Worth, TX",TRUE,Kansas
2022,32,Richmond,Providence,8,-3.7,-7,0,-0.35,29,-8.271015971,"Buffalo, NY",FALSE,Providence
2022,32,Iowa State,Wisconsin,8,-1.8,-1,6,-0.21,-9,224.863575,"Milwaukee, WI",TRUE,Iowa State
2022,32,Miami (FL),Auburn,8,-6.5,-3,0,-0.09,-9,407.1049899,"Greenville, SC",TRUE,Miami (FL)
2022,16,Gonzaga,Arkansas,-3,7.7,-2,-3,0.08,42,-831.3854004,"San Francisco, CA",FALSE,Arkansas
2022,16,Texas Tech,Duke,1,-0.3,1,3,-0.09,-23,-1202.460836,"San Francisco, CA",FALSE,Duke
2022,16,North Carolina,UCLA,4,-2.9,2,4,-0.06,-34,-2045.739926,"Philadelphia, PA",TRUE,North Carolina
2022,16,Purdue,Saint Peter's,-12,11.6,8,3,0.15,-90,548.2934352,"Philadelphia, PA",FALSE,Saint Peter's
2022,16,Arizona,Houston,-4,-2.2,2,-2,0.2,-2,566.8994901,"San Antonio, TX",FALSE,Houston
2022,16,Michigan,Villanova,9,-6.2,-8,7,-0.38,-8,-290.3679621,"San Antonio, TX",FALSE,Villanova
2022,16,Kansas,Providence,-3,6.9,7,3,-0.02,-46,-391.3832106,"Chicago, IL",TRUE,Kansas
2022,16,Iowa State,Miami (FL),1,0,3,5,-0.06,-23,-887.8136268,"Chicago, IL",FALSE,Miami (FL)
2022,8,Arkansas,Duke,2,-4,0,2,-0.08,-6,-828.5247948,"San Francisco, CA",FALSE,Duke
2022,8,North Carolina,Saint Peter's,-7,8.5,4,6,-0.06,-97,278.870234,"Philadelphia, PA",TRUE,North Carolina
2022,8,Houston,Villanova,3,2.2,-10,0,-0.25,61,-1310.615555,"San Antonio, TX",FALSE,Villanova
2022,8,Kansas,Miami (FL),-9,8.5,9,0,0.19,-25,-747.6245999,"Chicago, IL",TRUE,Kansas
2022,4,Duke,North Carolina,-6,3.5,4,-4,0.25,19,8.445774157,"New Orleans, LA",FALSE,North Carolina
2022,4,Villanova,Kansas,1,0,-1,-1,0.02,1,387.8468137,"New Orleans, LA",FALSE,Kansas
2022,2,North Carolina,Kansas,7,-4.3,-9,3,-0.29,10,64.04723431,"New Orleans, LA",FALSE,Kansas
2021,64,Gonzaga,Norfolk State,-15,24.4,11,0,0.92,-230,1071.353052,"Indianapolis, IN",TRUE,Gonzaga
2021,64,Oklahoma,Missouri,-1,2,0,2,-0.06,18,354.1848453,"Indianapolis, IN",TRUE,Oklahoma
2021,64,Creighton,UC Santa Barbara,-7,5,6,2,0.67,-131,-1346.682861,"Indianapolis, IN",TRUE,Creighton
2021,64,Virginia,Ohio,-9,8.8,6,3,0.25,-59,211.3005713,"Indianapolis, IN",FALSE,Ohio
