"year","round","team_x","team_y","diff_seed","diff_bpi","diff_qual_win","diff_qual_loss","diff_qual_win_perc","diff_schdl_strength","diff_dist","location","team_x_win"
2025,32,"Auburn","Louisville",0.32,0.551963048498845,0.818181818181818,0.476190476190476,0.606060606060606,0.490033222591362,0.570409191534234,"Lexington, KY",TRUE
2025,32,"Michigan","Texas A&M",0.64,0.316397228637413,0.363636363636364,0.476190476190476,0.424242424242424,0.54485049833887,0.570639047541477,"Denver, CO",TRUE
2025,32,"Ole Miss","Iowa State",0.72,0.242494226327945,0.515151515151515,0.714285714285714,0.406060606060606,0.54485049833887,0.569573113308143,"Milwaukee, WI",TRUE
2025,32,"Marquette","Michigan State",0.8,0.325635103926097,0.303030303030303,0.761904761904762,0.260606060606061,0.539867109634552,0.541351413149418,"Cleveland, OH",TRUE
2025,32,"Florida","UConn",0.32,0.445727482678984,0.575757575757576,0.380952380952381,0.563636363636364,0.529900332225914,0.49437949915235,"Raleigh, NC",TRUE
2025,32,"Memphis","Maryland",0.64,0.23094688221709,0.333333333333333,0.285714285714286,0.539393939393939,0.569767441860465,0.41473367956259,"Seattle, WA",TRUE
2025,32,"Missouri","Texas Tech",0.72,0.25635103926097,0.484848484848485,0.761904761904762,0.363636363636364,0.57641196013289,0.487074550176771,"Wichita, KS",TRUE
2025,32,"Kansas","St. John's",0.8,0.355658198614319,0.272727272727273,0.761904761904762,0.23030303030303,0.48671096345515,0.733918712302265,"Providence, RI",TRUE
2025,32,"Duke","Mississippi State",0.32,0.628175519630485,0.515151515151515,0.142857142857143,0.660606060606061,0.581395348837209,0.38848808072307,"Raleigh, NC",TRUE
2025,32,"Oregon","Arizona",0.64,0.244803695150115,0.363636363636364,0.380952380952381,0.442424242424242,0.556478405315615,0.308921153734542,"Seattle, WA",TRUE
2025,32,"Brigham Young","Wisconsin",0.72,0.339491916859122,0.333333333333333,0.428571428571429,0.412121212121212,0.604651162790698,0.410877948002681,"Denver, CO",TRUE
2025,32,"Saint Mary's","Alabama",0.8,0.233256351039261,0.0303030303030303,0.285714285714286,0.278787878787879,0.697674418604651,0.808976529911664,"Cleveland, OH",TRUE
2025,32,"Houston","Gonzaga",0.32,0.496535796766744,0.696969696969697,0.428571428571429,0.733333333333333,0.425249169435216,0.37138914372383,"Wichita, KS",TRUE
2025,32,"Clemson","Purdue",0.64,0.376443418013857,0.393939393939394,0.285714285714286,0.527272727272727,0.63953488372093,0.50230048858153,"Providence, RI",TRUE
2025,32,"Illinois","Kentucky",0.72,0.341801385681293,0.363636363636364,0.476190476190476,0.418181818181818,0.548172757475083,0.468560973015061,"Milwaukee, WI",TRUE
2025,32,"UCLA","Tennessee",0.8,0.244803695150116,0.242424242424242,0.571428571428571,0.327272727272727,0.601328903654485,0.862774135083812,"Lexington, KY",TRUE
2025,16,"Auburn","Michigan",0.44,0.558891454965358,0.696969696969697,0.428571428571429,0.551515151515152,0.538205980066445,0.40776711493463,"Atlanta, GA",TRUE
2025,16,"Ole Miss","Marquette",0.56,0.309468822170901,0.484848484848485,0.571428571428571,0.448484848484848,0.569767441860465,0.430742051799174,"Atlanta, GA",TRUE
2025,16,"Florida","Memphis",0.44,0.5635103926097,0.696969696969697,0.619047619047619,0.472727272727273,0.475083056478405,0.617362066879533,"San Francisco, CA",TRUE
2025,16,"Missouri","Kansas",0.56,0.286374133949192,0.515151515151515,0.571428571428571,0.472727272727273,0.647840531561462,0.538496231103326,"San Francisco, CA",TRUE
2025,16,"Duke","Oregon",0.44,0.628175519630485,0.545454545454545,0.333333333333333,0.618181818181818,0.588039867109635,0.0904753679528912,"Newark, NJ",TRUE
2025,16,"Brigham Young","Saint Mary's",0.56,0.392609699769053,0.545454545454545,0.666666666666667,0.490909090909091,0.481727574750831,0.388076868457728,"Newark, NJ",TRUE
2025,16,"Houston","Clemson",0.44,0.531177829099307,0.575757575757576,0.476190476190476,0.545454545454546,0.463455149501661,0.601692691248603,"Indianapolis, IN",TRUE
2025,16,"Illinois","UCLA",0.56,0.381062355658199,0.454545454545455,0.619047619047619,0.412121212121212,0.481727574750831,0.162760766438257,"Indianapolis, IN",TRUE
2025,8,"Auburn","Ole Miss",0.4,0.561200923787529,0.696969696969697,0.285714285714286,0.606060606060606,0.501661129568106,0.467287012541598,"Atlanta, GA",TRUE
2025,8,"Florida","Missouri",0.4,0.508083140877598,0.575757575757576,0.238095238095238,0.618181818181818,0.491694352159468,0.65362269908969,"San Francisco, CA",TRUE
2025,8,"Duke","Brigham Young",0.4,0.584295612009238,0.545454545454545,0.380952380952381,0.593939393939394,0.519933554817276,0.195172003197174,"Newark, NJ",TRUE
2025,8,"Houston","Illinois",0.4,0.556581986143187,0.484848484848485,0.238095238095238,0.606060606060606,0.543189368770764,0.658728408320559,"Indianapolis, IN",TRUE
2025,4,"Auburn","Florida",0.6,0.41108545034642,0.575757575757576,0.571428571428571,0.436363636363636,0.496677740863787,0.472169489555397,"San Antonio, TX",TRUE
2025,4,"Duke","Houston",0.6,0.38337182448037,0.393939393939394,0.523809523809524,0.418181818181818,0.593023255813954,0.716037018781942,"San Antonio, TX",TRUE
2025,2,"Auburn","Duke",0.6,0.302540415704388,0.696969696969697,0.619047619047619,0.442424242424242,0.488372093023256,0.421158144255129,"San Antonio, TX",TRUE
